year,month,mp,cbi,lip,lcpi,lsp500,ebp,gs1
2012,9,-0.02856705,0.04423799,457.6993937578397,544.2482643478538,727.4770576715101,-0.18479,0.18
2012,10,8.4e-5,-8.4e-5,458.017130150127,544.5175808232938,727.0883356593519,-0.206127,0.18
2012,11,0.0,0.0,458.40323476943087,544.3495052058861,724.0298378070875,-0.073514,0.18
2012,12,-0.02521036,0.02167142,458.68880821100504,544.3373963123214,726.0023527685967,-0.190747,0.16
2013,1,0.00289879,-0.00627765,458.67373401128407,544.5352792889694,730.0067600512001,-0.107943,0.15
2013,2,0.0,0.0,459.15113270373985,545.0768030738649,732.1393562179454,-0.046873,0.16
2013,3,-0.00559326,0.00741245,459.55944849524093,544.7952150764696,734.6545550463934,-0.116755,0.15
2013,4,0.0,0.0,459.4559086875653,544.5861988630356,735.9276658848986,-0.147895,0.12
2013,5,-0.00781193,0.00893132,459.5506644007063,544.6276058381145,740.2353955083253,-0.531918,0.12
2013,6,0.00616457,-0.00142011,459.736077173661,544.86536379031,738.9421880583878,-0.402193,0.14
2013,7,-0.00010693,-0.00398505,459.409609395178,545.0609176890296,741.9788173703192,-0.027398,0.12
2013,8,0.0,0.0,460.00541212182924,545.2993622521666,742.0632796174236,-0.133723,0.13
2013,9,-0.06758671,0.05248496,460.53801639411785,545.3370496187798,743.0807848067649,-0.152996,0.12
2013,10,0.01860349,-0.01639135,460.420672200569,545.3905584051288,745.0097011515857,-0.036307,0.12
2013,11,0.0,0.0,460.6750935944297,545.5748374496866,748.6355432357931,-0.003321,0.12
2013,12,-0.04458136,0.04590816,460.8903209577199,545.8389053990231,749.9854852132408,-0.159539,0.13
2014,1,0.02564036,-0.02238401,460.5069180887248,546.0810295707806,750.7887643373895,-0.328781,0.12
2014,2,0.0,0.0,461.26134162934153,546.1910468915507,750.4958578991847,-0.224921,0.12
2014,3,0.0202194,-0.00417166,462.2454940218276,546.3950442055756,753.0222451354342,-0.302424,0.13
2014,4,-0.00049245,0.00159852,462.32782410525164,546.5812892223319,753.0619470496953,-0.388164,0.11
2014,5,0.0,0.0,462.7315165872477,546.771408970506,754.4210407526787,-0.40193,0.1
2014,6,-0.0154742,0.022392,463.0617635568546,546.9034349983856,757.4091229265339,-0.333988,0.1
2014,7,-0.02654752,0.02073579,463.2740604938173,547.0159202386607,758.7361188975416,-0.353716,0.11
2014,8,0.0,0.0,463.1151723655094,546.9999188237647,758.1480059950186,-0.340306,0.11
2014,9,-0.0079825,0.02165802,463.41628085626974,547.0070776679934,759.7511717467972,-0.258584,0.11
2014,10,0.02838973,-0.00663013,463.4351246991484,546.987284318915,756.9035044503531,-0.252729,0.1
2014,11,0.0,0.0,464.051609407867,546.7988408604609,762.2942777418632,0.0180111,0.13
2014,12,-0.06886631,0.01944764,464.0683072100214,546.4899031946485,762.7675832677254,0.0312398,0.21
2015,1,0.01205601,-0.01793004,463.271044749198,545.8508338453997,761.4894118168819,-0.108868,0.2
2015,2,0.0,0.0,462.63111330210427,546.1039775342496,764.1180306040653,-0.361965,0.22
2015,3,-0.11641492,0.05333365,462.2881412142449,546.3730104939077,764.0118364991498,-0.192619,0.25
2015,4,-0.00551396,0.00551396,461.7350701397258,546.4772040831459,764.724200434764,-0.038309,0.23
2015,5,0.0,0.0,461.28158830136397,546.8064360535512,765.5362235331697,0.0160592,0.24
2015,6,-0.04059825,-0.00095681,460.97476931977985,547.0828457707228,764.934970777971,0.1195166,0.28
2015,7,-0.01223244,0.00294406,461.6004284619289,547.2413520611223,764.689824688424,0.1741482,0.3
2015,8,0.0,0.0,461.42934422360645,547.2409319521879,762.0641359317511,0.3737956,0.38
2015,9,-0.04320984,-0.02637128,461.14802356841136,547.0159202386607,757.27087251713,0.5074888,0.37
2015,10,0.05578484,-0.01635658,460.67319657748885,547.1148195188653,761.3231147978103,0.3980518,0.26
2015,11,0.0,0.0,459.9520255145669,547.2342099692004,764.042120520234,0.4805993,0.48
2015,12,0.00387742,0.02046458,459.45853638879174,547.1265967442488,762.7583338123413,0.653877,0.65
2016,1,0.00813876,-0.0354642,459.95453964776686,547.0807418762035,755.9351032383847,0.8918436,0.54
2016,2,0.0,0.0,459.4343791503217,546.9476858635799,755.1932779260597,0.9188393,0.53
2016,3,-0.058208,-0.02638595,458.6634455838713,547.2606751644727,761.1817671282588,0.5481752,0.66
2016,4,-0.00924227,0.0199193,458.9828095688821,547.6430078567937,763.7976639771848,0.1987022,0.56
2016,5,0.0,0.0,458.7565122279302,547.8791384359091,763.3151813757579,0.2112083,0.59
2016,6,-0.01860067,-0.02392282,459.24040444584176,548.1563495793126,764.1991618370776,0.0061795,0.55
2016,7,-0.01007823,0.01516591,459.35549900157764,548.1059668149813,767.2711362288516,-0.046975,0.51
2016,8,0.0,0.0,459.2517476998081,548.2907182229998,768.5923523839472,-0.052453,0.57
2016,9,-0.03502357,-5.02e-5,459.1630942686106,548.5526957414767,767.6793483970017,-0.119406,0.59
2016,10,0.0,0.0,459.23250391954105,548.7866905098523,766.997132814118,-0.099308,0.66
2016,11,-0.00204445,0.00532934,458.84745868769414,548.9045158402165,768.0171021488278,-0.812071,0.74
2016,12,0.03286119,0.0040773,459.5529867076255,549.1566499307847,771.7186594630285,-0.277206,0.87
2017,1,0.0,0.0,459.32575109964773,549.5601424731506,772.978807724671,-0.219309,0.83
2017,2,-0.01980009,-0.00056198,458.9402527246373,549.7192815154804,775.3584919204277,-0.216961,0.82
2017,3,-0.0400839,-0.00651283,459.56166963830185,549.6725504355929,776.9302560994993,-0.203503,1.01
2017,4,0.0,0.0,460.5586099484081,549.795889623709,776.6124482389016,-0.147858,1.04
2017,5,0.00455734,0.00915509,460.6449367486472,549.7184618601453,778.1284636954986,-0.198416,1.12
2017,6,0.01192735,0.00709012,460.8534520263517,549.7836035045509,779.7287165075599,-0.158448,1.2
2017,7,-0.00780455,-0.00530491,460.603481209119,549.8163631351514,780.5515374236858,-0.179566,1.22
2017,8,0.0,0.0,460.148640920634,550.2004870500302,780.6378861802525,-0.093357,1.23
2017,9,0.02955716,0.01214433,460.2649010494376,550.709826702641,782.1177901760784,-0.297273,1.28
2017,10,0.0,0.0,461.50145706350986,550.7873019073535,784.6589975291187,-0.239639,1.4
2017,11,-0.00419849,0.0060133,461.75857923825026,551.0537473687855,786.0806006618643,-0.172593,1.56
2017,12,-0.00741723,0.0016055,461.9931696808708,551.2642146554028,788.7711651144195,-0.239908,1.7
2018,1,0.00871585,-0.00362861,461.9912975042239,551.6886471015856,793.3725187658135,-0.44875,1.8
2018,2,0.0,0.0,462.2340921521053,551.9575140902034,790.2916339254042,-0.286209,1.96
2018,3,-0.02146824,0.0199818,462.68759032201035,551.976748481354,790.2032452016005,-0.150565,2.06
2018,4,0.0,0.0,463.81706317897954,552.2368505879615,788.368379296538,-0.342032,2.15
2018,5,-0.01109574,0.00591795,462.87011485144563,552.4623910323381,790.1558751630037,-0.251291,2.27
2018,6,0.0169643,0.00084061,463.6916884300672,552.5524649707929,792.0936759085807,-0.024919,2.33
2018,7,0.0,0.0,463.8180307124272,552.6305165525123,793.5100683984929,-0.181689,2.39
2018,8,-0.00274905,-0.00020653,464.4953240997549,552.8090890938355,795.7814375400751,-0.132087,2.45
2018,9,-0.01295645,0.01399858,464.53884783168434,553.015104905668,797.2983123630663,-0.226814,2.56
2018,10,0.0,0.0,464.3714709037904,553.2487896644745,793.2168309278783,-0.033147,2.65
2018,11,-0.00355321,0.00769513,464.4512045648992,553.1783456665163,790.9573954769609,0.1040374,2.7
2018,12,0.06758293,-0.04456093,464.4824458986872,553.2468115777195,785.0613937117014,0.3101799,2.66
2019,1,-0.0584845,0.03371235,463.82161050478993,553.1652803697076,786.6104999983156,0.1490133,2.58
2019,2,0.0,0.0,463.3029486642152,553.4649564064249,792.1121903598888,0.0378128,2.55
2019,3,-0.0464413,0.01384414,463.31364586914293,553.8424223980678,793.8795115461426,-0.163963,2.49
2019,4,0.0,0.0,462.766330830145,554.2176853455601,797.3775503049587,-0.029638,2.42
2019,5,-0.03563227,-0.01123643,462.9058572836592,554.2423656282941,795.6725540748764,-0.05383,2.34
